home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Brentford,Arsenal,2,0,True,False,2.97,3.19,2.29,2.42,1.07,1.13,1628881200
Manchester Utd,Leeds,5,1,True,False,0.62,0.68,3.27,3.6,4.46,5.0,1628940600
Watford,Aston Villa,3,2,True,False,2.47,2.73,2.31,2.45,1.23,1.31,1628949600
Leicester,Wolves,1,0,True,False,0.72,0.77,2.8,3.13,4.12,4.4,1628949600
Everton,Southampton,3,1,True,False,1.04,1.12,2.4,2.47,2.94,3.1,1628949600
Chelsea,Crystal Palace,3,0,True,False,0.31,0.36,4.39,5.2,10.04,12.0,1628949600
Burnley,Brighton,1,2,False,True,2.21,2.35,2.12,2.19,1.46,1.53,1628949600
Norwich,Liverpool,0,3,False,True,6.02,7.5,4.09,5.0,0.44,0.5,1628958600
Newcastle,West Ham,2,4,False,True,2.37,2.62,2.51,2.66,1.2,1.29,1629032400
Tottenham,Manchester City,1,0,True,False,4.95,5.53,3.12,3.3,0.61,0.65,1629041400
Liverpool,Burnley,2,0,True,False,0.25,0.26,5.47,6.0,11.02,12.5,1629545400
Manchester City,Norwich,5,0,True,False,0.13,0.15,8.85,10.0,22.44,25.0,1629554400
Leeds,Everton,2,2,False,False,1.12,1.19,2.5,2.6,2.58,2.67,1629554400
Crystal Palace,Brentford,0,0,False,False,1.66,1.75,2.17,2.27,1.9,1.98,1629554400
Aston Villa,Newcastle,2,0,True,False,0.83,0.87,2.89,3.1,3.29,3.42,1629554400
Brighton,Watford,2,0,True,False,0.74,0.8,2.59,2.69,4.55,5.0,1629563400
Wolves,Tottenham,0,1,False,True,1.94,2.17,2.09,2.19,1.68,1.79,1629637200
Southampton,Manchester Utd,1,1,False,False,4.36,4.79,3.21,3.45,0.64,0.7,1629637200
Arsenal,Chelsea,0,2,False,True,3.61,3.98,2.54,2.64,0.87,0.93,1629646200
West Ham,Leicester,4,1,True,False,1.46,1.52,2.5,2.7,1.91,2.02,1629745200
Manchester City,Arsenal,5,0,True,False,0.34,0.36,4.28,4.5,8.91,10.5,1630150200
West Ham,Crystal Palace,2,2,False,False,0.56,0.59,3.09,3.33,5.54,6.0,1630159200
Norwich,Leicester,1,2,False,True,3.21,3.62,2.63,2.74,0.91,0.96,1630159200
