Team,Rating
Arsenal,1007.7353044842725
Watford,933.0020250709133
Burnley,988.6327962623101
Brighton,948.6608054768864
Chelsea,1081.6018154050823
Wolves,1035.7410065613335
Crystal Palace,967.7160524035825
Tottenham,1030.5597296441774
Everton,971.3554801613112
Bournemouth,898.8722295175547
Leicester,1083.3713477569
Manchester Utd,1055.3611200528537
Manchester City,1112.1976480711216
Norwich,830.1219047964582
Newcastle,983.4268190476489
Liverpool,1254.2641123350015
Southampton,969.5663861827405
Sheffield Utd,1026.287921935337
West Ham,917.5158921586276
Aston Villa,904.0096026758871
