Team,Rating
Arsenal,982.6109944439354
Watford,940.8684404431852
Burnley,972.3985633032935
Brighton,946.16491573727
Chelsea,1052.6522882072525
Wolves,1047.4550130988027
Crystal Palace,936.8960521821195
Tottenham,1037.764442965383
Everton,1012.9646859438782
Bournemouth,878.3497453778855
Leicester,1075.6120326326147
Manchester Utd,1089.0046296768064
Manchester City,1130.7480645726894
Norwich,848.6622899652283
Newcastle,986.6391766928529
Liverpool,1214.7430124454354
Southampton,992.789310982446
Sheffield Utd,1042.7684776037909
West Ham,894.4435713323091
Aston Villa,916.4642923928212
