home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
Liverpool,Norwich,1016.0,984.0,0.8771929824561403,0.10395010395010396,0.05112474437627812,4,1,2019-08-09 20:00:00,1565377200.0,0.5,0.0,0.5,0.448024948024948,0.448024948024948,0.10395010395010396
West Ham,Manchester City,984.0,1016.0,0.0881057268722467,0.15360983102918588,0.7936507936507936,0,5,2019-08-10 12:30:00,1565436600.0,0.5,0.0,0.5,0.42319508448540705,0.42319508448540705,0.15360983102918588
Watford,Brighton,984.0,1016.0,0.48309178743961345,0.3067484662576687,0.24509803921568626,0,3,2019-08-10 15:00:00,1565445600.0,0.5,0.0,0.5,0.34662576687116564,0.34662576687116564,0.3067484662576687
Crystal Palace,Everton,1000.0,1000.0,0.29411764705882354,0.2976190476190476,0.4444444444444444,0,0,2019-08-10 15:00:00,1565445600.0,0.5,0.0,0.5,0.35119047619047616,0.35119047619047616,0.2976190476190476
Burnley,Southampton,1016.0,984.0,0.37593984962406013,0.3125,0.3484320557491289,3,0,2019-08-10 15:00:00,1565445600.0,0.5,0.0,0.5,0.34375,0.34375,0.3125
Bournemouth,Sheffield Utd,1000.0,1000.0,0.5076142131979695,0.2770083102493075,0.2506265664160401,1,1,2019-08-10 15:00:00,1565445600.0,0.5,0.0,0.5,0.36149584487534625,0.36149584487534625,0.2770083102493075
Tottenham,Aston Villa,1016.0,984.0,0.7407407407407407,0.1858736059479554,0.11337868480725623,3,1,2019-08-10 17:30:00,1565454600.0,0.5,0.0,0.5,0.4070631970260223,0.4070631970260223,0.1858736059479554
Newcastle,Arsenal,984.0,1016.0,0.29411764705882354,0.28328611898017,0.4566210045662101,0,1,2019-08-11 14:00:00,1565528400.0,0.5,0.0,0.5,0.358356940509915,0.358356940509915,0.28328611898017
Leicester,Wolves,1000.0,1000.0,0.4184100418410042,0.3164556962025316,0.30120481927710846,0,0,2019-08-11 14:00:00,1565528400.0,0.5,0.0,0.5,0.3417721518987342,0.3417721518987342,0.3164556962025316
Manchester Utd,Chelsea,1016.0,984.0,0.4926108374384236,0.2949852507374631,0.2469135802469136,4,0,2019-08-11 16:30:00,1565537400.0,0.5,0.0,0.5,0.35250737463126847,0.35250737463126847,0.2949852507374631
Arsenal,Burnley,1032.0,1000.0,0.7407407407407407,0.18761726078799248,0.10964912280701755,2,1,2019-08-17 12:30:00,1566041400.0,0.5,0.0,0.5,0.40619136960600377,0.40619136960600377,0.18761726078799248
Southampton,Liverpool,969.4695015289755,1030.5304984710244,0.14992503748125938,0.22123893805309736,0.6711409395973155,1,2,2019-08-17 15:00:00,1566050400.0,0.4540780772195163,0.0,0.5459219227804837,0.3536183256222782,0.42514273632462446,0.22123893805309736
Norwich,Newcastle,1000.0,968.0,0.4672897196261683,0.29154518950437314,0.2801120448179272,3,1,2019-08-17 15:00:00,1566050400.0,0.5,0.0,0.5,0.35422740524781343,0.35422740524781343,0.29154518950437314
Everton,Watford,1015.263693206478,968.736306793522,0.5494505494505495,0.2695417789757412,0.22075055187637974,1,0,2019-08-17 15:00:00,1566050400.0,0.5230095872975623,0.0,0.4769904127024377,0.3820366527160091,0.3484215683082496,0.2695417789757412
Brighton,West Ham,1014.5304984710245,985.4695015289755,0.45454545454545453,0.29154518950437314,0.29325513196480935,1,1,2019-08-17 15:00:00,1566050400.0,0.5459219227804837,0.0,0.4540780772195163,0.3867610123488558,0.32169379814677107,0.29154518950437314
Aston Villa,Bournemouth,968.736306793522,1015.263693206478,0.4424778761061947,0.27624309392265195,0.3215434083601286,1,2,2019-08-17 15:00:00,1566050400.0,0.4769904127024377,0.0,0.5230095872975623,0.3452251053260737,0.3785318007512744,0.27624309392265195
Manchester City,Tottenham,1016.0,1016.0,0.7352941176470589,0.18315018315018314,0.1234567901234568,2,2,2019-08-17 17:30:00,1566059400.0,0.5,0.0,0.5,0.4084249084249084,0.4084249084249084,0.18315018315018314
Sheffield Utd,Crystal Palace,1016.0,984.0,0.39840637450199207,0.30864197530864196,0.33222591362126247,1,0,2019-08-18 14:00:00,1566133200.0,0.5,0.0,0.5,0.345679012345679,0.345679012345679,0.30864197530864196
Chelsea,Leicester,984.736306793522,999.263693206478,0.5847953216374269,0.2617801047120419,0.19379844961240308,1,1,2019-08-18 16:30:00,1566142200.0,0.4769904127024377,0.0,0.5230095872975623,0.3521238125185535,0.38609608276940466,0.2617801047120419
Wolves,Manchester Utd,1000.736306793522,1015.263693206478,0.33003300330033003,0.30303030303030304,0.4065040650406504,1,1,2019-08-19 20:00:00,1566241200.0,0.4769904127024377,0.0,0.5230095872975623,0.3324478633986687,0.3645218335710283,0.30303030303030304
Aston Villa,Everton,986.866254736599,997.133745263401,0.3278688524590164,0.29239766081871343,0.4184100418410042,2,0,2019-08-23 20:00:00,1566586800.0,0.43343912677884444,0.0,0.5665608732211556,0.30670254000140457,0.400899799179882,0.29239766081871343
