Team,Rating
Fulham,941.621865888384
Arsenal,963.502339527278
Crystal Palace,972.7940312407649
Southampton,1028.846293377065
Liverpool,1095.5732298533212
Leeds,1006.8595033183253
West Ham,1011.6202193818687
Newcastle,979.9295423316939
West Brom,895.2315950555096
Leicester,1042.4469714341692
Tottenham,1040.2525119627078
Everton,1053.5785622955113
Sheffield Utd,849.386326312334
Wolves,1000.86564638023
Brighton,951.9900683650405
Chelsea,1025.5234161649225
Manchester Utd,1069.8843756158233
Burnley,961.7869081547653
Aston Villa,1042.3800160666856
Manchester City,1065.9265772735992
