Team,Rating
Brentford,1016.5222740328318
Arsenal,1004.6368666995152
Manchester Utd,1020.0869724166257
Leeds,956.5561127391848
Watford,952.3842848986736
Aston Villa,989.0797621642583
Leicester,1001.2118207781863
Wolves,1007.3326009093605
Everton,1020.0803641084941
Southampton,975.2567374154451
Chelsea,1070.484500730733
Crystal Palace,994.381024005887
Burnley,930.7695438641953
Brighton,1035.7030235543498
Norwich,918.6680580695139
Liverpool,1067.9603317669846
Newcastle,929.4196848492178
West Ham,1027.2252055965325
Tottenham,1024.383077275399
Manchester City,1057.8577541246116
