home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Liverpool,Norwich,4,1,True,False,0.14,0.15,8.62,9.5,18.56,22.0
West Ham,Manchester City,0,5,False,True,10.35,12.0,5.51,6.0,0.26,0.27
Watford,Brighton,0,3,False,True,1.07,1.13,2.26,2.38,3.08,3.2
Crystal Palace,Everton,0,0,False,False,2.4,2.55,2.36,2.5,1.25,1.34
Burnley,Southampton,3,0,True,False,1.66,1.71,2.2,2.26,1.87,1.95
Bournemouth,Sheffield Utd,1,1,False,False,0.97,1.03,2.61,2.7,2.99,3.2
Tottenham,Aston Villa,3,1,True,False,0.35,0.39,4.38,4.7,7.82,8.6
Newcastle,Arsenal,0,1,False,True,2.4,2.76,2.53,2.65,1.19,1.25
Leicester,Wolves,0,0,False,False,1.39,1.5,2.16,2.25,2.32,2.58
Manchester Utd,Chelsea,4,0,True,False,1.03,1.1,2.39,2.5,3.05,3.4
Arsenal,Burnley,2,1,True,False,0.35,0.38,4.33,4.6,8.12,9.0
Southampton,Liverpool,1,2,False,True,5.67,6.4,3.52,3.64,0.49,0.53
Norwich,Newcastle,3,1,True,False,1.14,1.25,2.43,2.57,2.57,2.86
Everton,Watford,1,0,True,False,0.82,0.86,2.71,2.88,3.53,3.84
Brighton,West Ham,1,1,False,False,1.2,1.3,2.43,2.6,2.41,2.74
Aston Villa,Bournemouth,1,2,False,True,1.26,1.3,2.62,2.69,2.11,2.2
Manchester City,Tottenham,2,2,False,False,0.36,0.39,4.46,4.7,7.1,7.7
Sheffield Utd,Crystal Palace,1,0,True,False,1.51,1.57,2.24,2.33,2.01,2.1
Chelsea,Leicester,1,1,False,False,0.71,0.76,2.82,2.9,4.16,4.7
Wolves,Manchester Utd,1,1,False,False,2.03,2.24,2.3,2.38,1.46,1.56
Aston Villa,Everton,2,0,True,False,2.05,2.26,2.42,2.72,1.39,1.48
Norwich,Chelsea,2,3,False,True,3.28,3.66,2.86,2.95,0.83,0.89
Watford,West Ham,1,3,False,True,1.19,1.25,2.53,2.62,2.34,2.48
Sheffield Utd,Leicester,1,2,False,True,2.29,2.64,2.28,2.38,1.32,1.44
Manchester Utd,Crystal Palace,1,2,False,True,0.34,0.37,4.34,4.6,8.31,9.0
Brighton,Southampton,0,2,False,True,1.33,1.42,2.29,2.35,2.27,2.44
Liverpool,Arsenal,3,1,True,False,0.47,0.5,3.96,4.12,5.34,5.74
Bournemouth,Manchester City,1,3,False,True,15.56,18.0,7.23,8.5,0.17,0.18
Wolves,Burnley,1,1,False,False,0.78,0.82,2.48,2.6,4.28,4.6
Tottenham,Newcastle,0,1,False,True,0.27,0.3,5.07,5.35,10.05,11.5
Southampton,Manchester Utd,1,1,False,False,3.12,3.56,2.51,2.6,0.95,1.04
West Ham,Norwich,2,0,True,False,0.88,0.94,3.01,3.12,2.84,3.22
Newcastle,Watford,1,1,False,False,1.52,1.6,2.21,2.28,2.02,2.28
Manchester City,Brighton,4,0,True,False,0.09,0.1,10.19,12.06,29.65,37.0
Leicester,Bournemouth,3,1,True,False,0.67,0.75,3.03,3.2,4.19,4.9
Crystal Palace,Aston Villa,1,0,True,False,1.26,1.32,2.41,2.46,2.29,2.42
Chelsea,Sheffield Utd,2,2,False,False,0.39,0.44,3.84,4.3,7.45,8.5
Burnley,Liverpool,0,3,False,True,7.98,8.8,4.4,4.77,0.34,0.36
Everton,Wolves,3,2,True,False,1.05,1.08,2.27,2.36,3.04,3.2
Arsenal,Tottenham,2,2,False,False,1.56,1.63,2.64,2.74,1.68,1.87
Liverpool,Newcastle,3,1,True,False,0.19,0.22,6.55,7.0,13.97,16.5
Wolves,Chelsea,2,5,False,True,2.05,2.15,2.4,2.46,1.39,1.44
Tottenham,Crystal Palace,4,0,True,False,0.41,0.45,3.95,4.15,6.76,7.5
Sheffield Utd,Southampton,0,1,False,True,1.47,1.55,2.26,2.38,2.04,2.18
Manchester Utd,Leicester,1,0,True,False,1.12,1.19,2.34,2.4,2.74,3.0
Brighton,Burnley,1,1,False,False,1.14,1.25,2.39,2.52,2.6,2.75
Norwich,Manchester City,3,2,True,False,24.2,28.0,10.81,12.49,0.09,0.12
Bournemouth,Everton,3,1,True,False,2.37,2.76,2.5,2.6,1.19,1.25
Watford,Arsenal,2,2,False,False,3.11,3.32,2.86,3.0,0.87,0.9
Aston Villa,West Ham,0,0,False,False,1.72,1.8,2.59,2.71,1.52,1.58
Southampton,Bournemouth,1,3,False,True,1.18,1.2,2.56,2.65,2.33,2.48
Leicester,Tottenham,2,1,True,False,1.74,2.0,2.44,2.51,1.6,1.69
Manchester City,Watford,8,0,True,False,0.11,0.12,9.8,11.5,22.27,26.0
Everton,Sheffield Utd,0,2,False,True,0.75,0.8,2.57,2.68,4.29,4.5
Burnley,Norwich,2,0,True,False,1.02,1.05,2.74,2.88,2.61,2.7
Newcastle,Brighton,0,0,False,False,1.39,1.43,2.22,2.3,2.21,2.3
West Ham,Manchester Utd,2,0,True,False,2.09,2.2,2.49,2.68,1.33,1.45
Crystal Palace,Wolves,1,1,False,False,1.74,1.9,2.12,2.2,1.83,1.9
Chelsea,Liverpool,1,2,False,True,2.26,2.44,2.71,2.84,1.16,1.27
Arsenal,Aston Villa,3,2,True,False,0.41,0.42,4.1,4.35,6.35,6.95
Sheffield Utd,Liverpool,0,1,False,True,7.95,9.0,4.3,4.65,0.35,0.36
Wolves,Watford,2,0,True,False,0.93,0.96,2.45,2.52,3.3,3.5
Tottenham,Southampton,2,1,True,False,0.39,0.47,4.02,4.35,7.18,9.25
Crystal Palace,Norwich,2,0,True,False,0.92,0.96,2.78,2.89,2.89,3.1
Chelsea,Brighton,2,0,True,False,0.43,0.45,3.73,3.88,6.72,7.5
Bournemouth,West Ham,2,2,False,False,1.39,1.43,2.63,2.7,1.89,1.96
Aston Villa,Burnley,2,2,False,False,1.29,1.38,2.4,2.46,2.22,2.26
Everton,Manchester City,1,3,False,True,7.86,10.0,4.57,4.84,0.34,0.37
Leicester,Newcastle,5,0,True,False,0.53,0.55,3.14,3.33,5.95,6.5
Manchester Utd,Arsenal,1,1,False,False,1.23,1.29,2.55,2.68,2.22,2.3
Brighton,Tottenham,3,0,True,False,4.1,4.65,2.9,3.0,0.71,0.75
Watford,Sheffield Utd,0,0,False,False,1.35,1.44,2.28,2.4,2.25,2.32
Norwich,Aston Villa,1,5,False,True,1.41,1.47,2.63,2.7,1.86,1.91
Liverpool,Leicester,2,1,True,False,0.58,0.62,3.35,3.5,4.74,5.1
Burnley,Everton,1,0,True,False,2.19,2.26,2.24,2.35,1.4,1.45
West Ham,Crystal Palace,1,2,False,True,1.0,1.05,2.64,2.75,2.77,2.88
Southampton,Chelsea,1,4,False,True,3.67,4.2,3.21,3.5,0.7,0.75
Manchester City,Wolves,0,2,False,True,0.14,0.15,7.85,9.0,19.61,23.0
